,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh),Longitude,Latitude
182,2001,Finland,Bioenergy,8.271852,11.131937663209698,-4.25016711955341,-0.367172999999999,25.7482,61.9241
183,2001,Finland,Other renewables,0.0,0.0,,0.0,25.7482,61.9241
184,2001,Finland,Production,74.307387,,6.480605124578299,4.5224839999999995,25.7482,61.9241
185,2001,Finland,Net imports,9.959,,-16.1700336700336,-1.9209999999999898,25.7482,61.9241
186,2001,Finland,Demand,84.266387,,3.18555940732581,2.6014839999999904,25.7482,61.9241
187,2001,France,Fossil,46.472,8.52248822523677,-8.194389569340169,-4.147999999999991,2.2137,46.2276
188,2001,France,Coal,20.477999999999998,3.7554551961697,-24.1667901051695,-6.52599999999999,2.2137,46.2276
189,2001,France,Hard Coal,20.077,3.6819159084627002,-24.5083662342545,-6.51799999999999,2.2137,46.2276
190,2001,France,Lignite,0.401,0.0735392877070052,-1.95599022004888,-0.00799999999999995,2.2137,46.2276
191,2001,France,Gas,15.145999999999999,2.7776210763349103,31.544207052284197,3.6319999999999997,2.2137,46.2276
192,2001,France,Other fossil,10.847999999999999,1.9894119527321499,-10.3619236489836,-1.25399999999999,2.2137,46.2276
193,2001,France,Nuclear,421.07599999999996,77.221020225723,1.42450416945676,5.914000000000041,2.2137,46.2276
194,2001,France,Renewables,77.738761,14.256491549040101,12.010762253166199,8.335822,2.2137,46.2276
195,2001,France,Hydro,74.267427,13.6198844922992,11.910474726757199,7.904178,2.2137,46.2276
196,2001,France,Wind and solar,0.13740099999999902,0.0251979343397262,157.387183185658,0.0840179999999999,2.2137,46.2276
197,2001,France,Wind,0.13123999999999902,0.0240680701213649,172.50830564784002,0.0830799999999999,2.2137,46.2276
198,2001,France,Solar,0.006161,0.00112986421836124,17.959027378901,0.0009379999999999991,2.2137,46.2276
199,2001,France,Bioenergy,2.8489999999999998,0.522477383235057,14.925373134328302,0.37,2.2137,46.2276
200,2001,France,Other renewables,0.48493299999999895,0.0889317391661375,-4.41034718622059,-0.0223740000000001,2.2137,46.2276
201,2001,France,Production,545.2867610000001,,1.8875385430082199,10.101822,2.2137,46.2276
202,2001,France,Net imports,-68.39,,-1.5673800716763402,1.08900000000001,2.2137,46.2276
203,2001,France,Demand,476.896761,,2.40298030642036,11.190822,2.2137,46.2276
204,2001,Germany,Fossil,371.7,63.8659793814433,1.97530864197532,7.20000000000004,10.4515,51.1657
205,2001,Germany,Coal,293.2,50.378006872852204,0.617707618393992,1.8000000000000602,10.4515,51.1657
206,2001,Germany,Hard Coal,138.4,23.780068728522302,-3.28441649196364,-4.699999999999981,10.4515,51.1657
207,2001,Germany,Lignite,154.8,26.597938144329902,4.38300741739716,6.5,10.4515,51.1657
208,2001,Germany,Gas,55.5,9.5360824742268,12.8048780487804,6.29999999999999,10.4515,51.1657
209,2001,Germany,Other fossil,23.0,3.95189003436426,-3.7656903765690295,-0.8999999999999979,10.4515,51.1657
210,2001,Germany,Nuclear,171.3,29.4329896907216,1.0023584905660399,1.7000000000000102,10.4515,51.1657
211,2001,Germany,Renewables,39.0,6.70103092783505,3.06553911205074,1.16,10.4515,51.1657
212,2001,Germany,Hydro,23.2,3.9862542955326403,-6.827309236947781,-1.69999999999999,10.4515,51.1657
213,2001,Germany,Wind and solar,10.6,1.82130584192439,11.1111111111111,1.06,10.4515,51.1657
214,2001,Germany,Wind,10.5,1.8041237113402,10.5263157894736,1.0,10.4515,51.1657
215,2001,Germany,Solar,0.1,0.0171821305841924,150.0,0.06,10.4515,51.1657
216,2001,Germany,Bioenergy,5.19999999999999,0.8934707903780059,52.94117647058821,1.7999999999999898,10.4515,51.1657
217,2001,Germany,Other renewables,0.0,0.0,,0.0,10.4515,51.1657
218,2001,Germany,Production,582.0,,1.75892576144349,10.0599999999999,10.4515,51.1657
219,2001,Germany,Net imports,-1.3,,-141.935483870967,-4.4,10.4515,51.1657
220,2001,Germany,Demand,580.7,,0.9842793544797109,5.66000000000008,10.4515,51.1657
221,2001,Greece,Fossil,50.144,94.4758459567412,1.75118199711856,0.862999999999999,21.8243,39.0742
222,2001,Greece,Coal,35.431,66.7552189313437,3.2582403170809706,1.1179999999999901,21.8243,39.0742
223,2001,Greece,Hard Coal,0.006,0.0113045444268595,-57.1428571428571,-0.008,21.8243,39.0742
224,2001,Greece,Lignite,35.425,66.7439143869168,3.2828945450304503,1.1259999999999901,21.8243,39.0742
225,2001,Greece,Gas,6.132999999999999,11.5551284949883,3.59797297297297,0.213,21.8243,39.0742
226,2001,Greece,Other fossil,8.58,16.1654985304092,-5.17241379310344,-0.467999999999999,21.8243,39.0742
227,2001,Greece,Nuclear,0.0,0.0,,0.0,21.8243,39.0742
228,2001,Greece,Renewables,2.932,5.5241540432587195,-29.2471042471042,-1.21199999999999,21.8243,39.0742
229,2001,Greece,Hydro,2.097,3.95093827718742,-43.216896831844,-1.5959999999999899,21.8243,39.0742
230,2001,Greece,Wind and solar,0.7559999999999999,1.4243725977843003,67.6274944567627,0.305,21.8243,39.0742
231,2001,Greece,Wind,0.7559999999999999,1.4243725977843003,67.6274944567627,0.305,21.8243,39.0742
232,2001,Greece,Solar,0.0,0.0,,0.0,21.8243,39.0742
233,2001,Greece,Bioenergy,0.079,0.14884316828698402,inf,0.079,21.8243,39.0742
234,2001,Greece,Other renewables,0.0,0.0,,0.0,21.8243,39.0742
235,2001,Greece,Production,53.076,,-0.653252222742151,-0.34899999999999604,21.8243,39.0742
236,2001,Greece,Net imports,2.5,,-22827.2727272729,2.511,21.8243,39.0742
237,2001,Greece,Demand,55.576,,4.04762796270641,2.1619999999999897,21.8243,39.0742
