,Year,Area,Variable,Share of production (%),Change on last year (%)
748,2002,Belgium,Renewables,1.40599710893388,5.860465116279111
749,2002,Belgium,Hydro,0.44477940177170394,-18.3673469387754
750,2002,Belgium,Wind,0.0704234052805199,54.054054054054
751,2002,Belgium,Solar,0.0,
752,2002,Belgium,Bioenergy,0.8907943018816641,20.7705192629815
753,2002,Belgium,Other renewables,0.0,
760,2002,Bulgaria,Nuclear,48.043524744006994,3.42146985117373
761,2002,Bulgaria,Renewables,5.02720296500439,28.164748637189604
762,2002,Bulgaria,Hydro,5.02720296500439,28.164748637189604
763,2002,Bulgaria,Wind,0.0,
764,2002,Bulgaria,Solar,0.0,
765,2002,Bulgaria,Bioenergy,0.0,
766,2002,Bulgaria,Other renewables,0.0,
773,2002,Croatia,Nuclear,0.0,
774,2002,Croatia,Renewables,46.05443354794021,-18.508718177260302
775,2002,Croatia,Hydro,46.05443354794021,-18.508718177260302
776,2002,Croatia,Wind,0.0,
777,2002,Croatia,Solar,0.0,
778,2002,Croatia,Bioenergy,0.0,
779,2002,Croatia,Other renewables,0.0,
786,2002,Cyprus,Nuclear,0.0,
787,2002,Cyprus,Renewables,0.0,
788,2002,Cyprus,Hydro,0.0,
789,2002,Cyprus,Wind,0.0,
790,2002,Cyprus,Solar,0.0,
791,2002,Cyprus,Bioenergy,0.0,
792,2002,Cyprus,Other renewables,0.0,
799,2002,Czech Republic,Nuclear,24.6570550120372,27.045901417045197
800,2002,Czech Republic,Renewables,3.9449432621267904,16.3493127372489
801,2002,Czech Republic,Hydro,3.27918567029548,21.3242453748782
802,2002,Czech Republic,Wind,0.00265282436248623,inf
803,2002,Czech Republic,Solar,0.000152642671650993,43.2098765432098
804,2002,Czech Republic,Bioenergy,0.6629521247971739,-3.5942134369199503
805,2002,Czech Republic,Other renewables,0.0,
812,2002,Denmark,Nuclear,0.0,
813,2002,Denmark,Renewables,17.286245353159803,16.1306876496749
814,2002,Denmark,Hydro,0.0814788409634872,14.2857142857142
815,2002,Denmark,Wind,12.4178846055914,13.260566651184302
816,2002,Denmark,Solar,0.00254621378010897,0.0
817,2002,Denmark,Bioenergy,4.78433569282477,24.3547319655857
818,2002,Denmark,Other renewables,0.0,
825,2002,Estonia,Nuclear,0.0,
826,2002,Estonia,Renewables,0.3518236190922949,66.6666666666666
827,2002,Estonia,Hydro,0.070364723818459,-14.2857142857142
828,2002,Estonia,Wind,0.0117274539697431,inf
829,2002,Estonia,Solar,0.0,
830,2002,Estonia,Bioenergy,0.269731441304092,109.09090909090901
831,2002,Estonia,Other renewables,0.0,
838,2002,Finland,Nuclear,29.8379914169635,-2.09897685856056
839,2002,Finland,Renewables,26.539925086098197,-7.97216817248219
840,2002,Finland,Hydro,14.4218073787485,-18.3945475198788
841,2002,Finland,Wind,0.0856529020267176,-8.571428571428571
842,2002,Finland,Solar,0.0024959790981223104,8.746355685131201
843,2002,Finland,Bioenergy,12.0299688262248,8.6674906659355
844,2002,Finland,Other renewables,0.0,
851,2002,France,Nuclear,78.890128244848,3.7247432767481397
852,2002,France,Renewables,11.597394161309301,-17.4070461452299
853,2002,France,Hydro,10.9091868903615,-18.6768487347757
854,2002,France,Wind,0.0479724085551543,102.36970435842699
855,2002,France,Solar,0.00128316574560719,15.3059568251907
856,2002,France,Bioenergy,0.5496443361321379,6.8094068094068
857,2002,France,Other renewables,0.0893073605148936,1.95903351597024
864,2002,Germany,Nuclear,28.3210173569341,-3.79451255107997
865,2002,Germany,Renewables,7.922323423268599,18.2051282051282
866,2002,Germany,Hydro,4.07286475339405,2.1551724137931
867,2002,Germany,Wind,2.71524316892936,50.476190476190396
868,2002,Germany,Solar,0.0343701666953084,100.0
869,2002,Germany,Bioenergy,1.0998453342498702,23.076923076923105
870,2002,Germany,Other renewables,0.0,
877,2002,Greece,Nuclear,0.0,
878,2002,Greece,Renewables,6.6308276948744105,21.998635743519696
879,2002,Greece,Hydro,5.1904717768097095,33.524082021936
880,2002,Greece,Wind,1.20678468810825,-13.8888888888888
881,2002,Greece,Solar,0.0,
882,2002,Greece,Bioenergy,0.23357122995643698,59.4936708860759
883,2002,Greece,Other renewables,0.0,
890,2002,Hungary,Nuclear,38.5900677744806,-1.22469205719949
891,2002,Hungary,Renewables,0.65539780266998,-7.875084069059071
892,2002,Hungary,Hydro,0.536549354851949,4.3010752688172005
893,2002,Hungary,Wind,0.00276571832397912,0.0
894,2002,Hungary,Solar,0.0,
895,2002,Hungary,Bioenergy,0.116082729494051,-40.2355152429907
896,2002,Hungary,Other renewables,0.0,
903,2002,Ireland,Nuclear,0.0,
904,2002,Ireland,Renewables,5.5629352332649,34.5666991236611
905,2002,Ireland,Hydro,3.6710542205047703,53.02013422818789
906,2002,Ireland,Wind,1.56180815521474,16.1676646706586
907,2002,Ireland,Solar,0.0,
908,2002,Ireland,Bioenergy,0.330072857545385,-15.463917525773098
909,2002,Ireland,Other renewables,0.0,
916,2002,Italy,Nuclear,0.0,
917,2002,Italy,Renewables,17.4573021289379,-11.0989259451152
918,2002,Italy,Hydro,14.279086150811601,-15.5754592586973
919,2002,Italy,Wind,0.507291564699496,19.083969465648803
920,2002,Italy,Solar,0.00758769434379588,10.5263157894736
921,2002,Italy,Bioenergy,0.978868574760302,47.8611570933545
922,2002,Italy,Other renewables,1.6844681443226799,3.4390947415132005
929,2002,Latvia,Nuclear,0.0,
930,2002,Latvia,Renewables,62.51115859138571,-12.4902346845688
931,2002,Latvia,Hydro,61.9850064762602,-13.042262817650599
932,2002,Latvia,Wind,0.282852050413182,227.468686280221
933,2002,Latvia,Solar,0.0,
934,2002,Latvia,Bioenergy,0.243300064712281,273.07098765432005
935,2002,Latvia,Other renewables,0.0,
942,2002,Lithuania,Nuclear,82.4347381455471,24.4675233233585
943,2002,Lithuania,Renewables,2.0832462615683003,9.10775562041299
944,2002,Lithuania,Hydro,2.06064111982537,8.58684834559953
945,2002,Lithuania,Wind,0.0,
946,2002,Lithuania,Solar,0.0,
947,2002,Lithuania,Bioenergy,0.022605141742924,93.8999999999999
948,2002,Lithuania,Other renewables,0.0,
955,2002,Luxembourg,Nuclear,0.0,
956,2002,Luxembourg,Renewables,5.38460196891549,-9.784067123459302
957,2002,Luxembourg,Hydro,3.54969288861948,-15.505117256337302
958,2002,Luxembourg,Wind,0.8712730467007901,3.1128896377422297
959,2002,Luxembourg,Solar,0.00209996771744542,28.2608695652174
960,2002,Luxembourg,Bioenergy,0.9615360658777671,4.41386773856917
961,2002,Luxembourg,Other renewables,0.0,
968,2002,Malta,Nuclear,0.0,
969,2002,Malta,Renewables,0.0,
970,2002,Malta,Hydro,0.0,
971,2002,Malta,Wind,0.0,
972,2002,Malta,Solar,0.0,
973,2002,Malta,Bioenergy,0.0,
974,2002,Malta,Other renewables,0.0,
981,2002,Netherlands,Nuclear,4.08855844749906,-1.53420523138833
982,2002,Netherlands,Renewables,4.15163294674646,20.386500494368104
983,2002,Netherlands,Hydro,0.114876482560637,-6.206567245627941
984,2002,Netherlands,Wind,0.989369528726853,14.7744178721135
985,2002,Netherlands,Solar,0.0171176402331946,40.7677773960838
986,2002,Netherlands,Bioenergy,3.03026929522578,23.586793375391604
987,2002,Netherlands,Other renewables,0.0,
994,2002,Poland,Nuclear,0.0,
995,2002,Poland,Renewables,1.94187749418443,-0.5749191519942459
996,2002,Poland,Hydro,1.5993996419393999,-1.9784946236558998
997,2002,Poland,Wind,0.0428097315306291,335.714285714285
