,Unnamed: 0,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
380,530,2001,Belgium,Lignite,0.0,0.0,,0.0
381,531,2001,Belgium,Gas,15.78,20.0717392963443,-1.23302246980034,-0.19699999999999998
382,532,2001,Belgium,Other fossil,5.478,6.96786995344577,17.0762983543492,0.7989999999999989
383,533,2001,Belgium,Nuclear,46.349,58.954692309649104,-3.7543866935232697,-1.8079999999999898
385,535,2001,Belgium,Hydro,0.44099999999999895,0.560940242692513,-4.13043478260872,-0.0190000000000001
386,537,2001,Belgium,Wind,0.037000000000000005,0.0470630135592358,131.25,0.0209999999999999
387,538,2001,Belgium,Solar,0.0,0.0,,0.0
388,539,2001,Belgium,Bioenergy,0.597,0.7593680836449659,5.105633802816901,0.028999999999999998
389,540,2001,Belgium,Other renewables,0.0,0.0,,0.0
390,544,2001,Bulgaria,Fossil,22.244,51.196832995765,12.371811063399802,2.449
391,545,2001,Bulgaria,Coal,19.497,44.8743325354446,15.0876571630954,2.556
392,546,2001,Bulgaria,Hard Coal,4.446000000000001,10.2329221137911,49.59623149394339,1.4739999999999898
393,547,2001,Bulgaria,Lignite,15.050999999999998,34.6414104216534,7.74572267163005,1.082
394,548,2001,Bulgaria,Gas,1.9080000000000001,4.3914564536917595,-0.209205020920499,-0.004
395,549,2001,Bulgaria,Other fossil,0.8390000000000001,1.93104400662861,-10.9341825902335,-0.10299999999999901
396,550,2001,Bulgaria,Nuclear,19.553,45.003222242680906,7.5640884585763,1.375
398,552,2001,Bulgaria,Hydro,1.6509999999999898,3.7999447615540403,-37.2481946028126,-0.98
399,554,2001,Bulgaria,Wind,0.0,0.0,,0.0
400,555,2001,Bulgaria,Solar,0.0,0.0,,0.0
401,556,2001,Bulgaria,Bioenergy,0.0,0.0,,0.0
402,557,2001,Bulgaria,Other renewables,0.0,0.0,,0.0
403,561,2001,Croatia,Fossil,5.59,43.7731002944308,16.2403826159284,0.7809999999999989
404,562,2001,Croatia,Coal,1.6380000000000001,12.8265363653448,5.60928433268859,0.0869999999999999
405,563,2001,Croatia,Hard Coal,1.625,12.724738457683301,5.109961190168169,0.0789999999999999
406,564,2001,Croatia,Lignite,0.013000000000000001,0.10179790766146699,159.999999999999,0.008
407,565,2001,Croatia,Gas,1.8230000000000002,14.275198897450302,16.0407383831954,0.252
408,566,2001,Croatia,Other fossil,2.129,16.6713650316356,26.2003556609365,0.44199999999999895
409,567,2001,Croatia,Nuclear,0.0,0.0,,0.0
411,569,2001,Croatia,Hydro,7.1804,56.2268997055691,11.274000836833,0.7275
412,571,2001,Croatia,Wind,0.0,0.0,,0.0
413,572,2001,Croatia,Solar,0.0,0.0,,0.0
414,573,2001,Croatia,Bioenergy,0.0,0.0,-100.0,-0.001
415,574,2001,Croatia,Other renewables,0.0,0.0,,0.0
416,578,2001,Cyprus,Fossil,3.551,100.0,5.37091988130564,0.18100000000000002
417,579,2001,Cyprus,Coal,0.0,0.0,,0.0
418,580,2001,Cyprus,Hard Coal,0.0,0.0,,0.0
419,581,2001,Cyprus,Lignite,0.0,0.0,,0.0
420,582,2001,Cyprus,Gas,0.0,0.0,,0.0
