,Year,Area,Share_sum(%),Change_sum(%)
3516,2009,Malta,0.0,0.0
3529,2009,Netherlands,13.282038167498422,38.00731502939819
3542,2009,Poland,5.744216196518861,83.5420193315029
3555,2009,Portugal,36.96483621696487,356.752138509967
3568,2009,Romania,47.28889097790541,233.83192852099987
3581,2009,Slovakia,73.38440169058498,-17.989197399437792
3594,2009,Slovenia,64.90104753474917,413.3418626120583
3607,2009,Spain,43.50902829230806,160.58666829331926
3620,2009,Sweden,96.61398538909859,87.54395779990625
3633,2009,United Kingdom,25.28824807798665,1729.4196472293822
3646,2010,Austria,66.25675240155732,78.29476268408067
3659,2010,Belgium,58.173780401273014,273.343802559029
3672,2010,Bulgaria,45.700327173913315,965.1324411595122
3685,2010,Croatia,62.8424636703644,244.00948203450673
3698,2010,Cyprus,1.376149374643242,8935.774580329242
3711,2010,Czech Republic,39.77689793132564,644.4706027957519
3724,2010,Denmark,31.982778283497527,113.89912835375809
3737,2010,Estonia,8.052240212288233,162.2720960904345
3750,2010,Finland,58.47890666673317,40.59504269901043
3763,2010,France,89.7891343968828,310.52497567548295
3776,2010,Germany,39.21506062539879,99.71692900555622
3789,2010,Greece,18.341106863678778,248.34999757333858
3802,2010,Hungary,50.25531744658733,75.11912151234364
3815,2010,Ireland,13.233709040269652,-1.0643654277999595
3828,2010,Italy,25.835634516461823,250.77347852763032
3841,2010,Latvia,54.84906277096974,35.74787237371986
3854,2010,Lithuania,19.202727166180548,13.192689390961291
3867,2010,Luxembourg,8.295769538847411,0.21647594270031867
3880,2010,Malta,0.0321713788274478,inf
3893,2010,Netherlands,12.731926782260324,27.422484278850447
3906,2010,Poland,6.93521318652952,98.06261334692641
3919,2010,Portugal,52.809279087417124,180.64396222372906
3932,2010,Romania,52.661517743402,4297.262801483616
3945,2010,Slovakia,74.80303889207455,inf
3958,2010,Slovenia,64.01607678464295,233.22245306049112
3971,2010,Spain,53.583833174805974,127.42768011493371
3984,2010,Sweden,94.25374240842453,80.88625453650698
3997,2010,United Kingdom,23.308751283534583,286.7122056198099
4010,2011,Austria,65.7068401349332,56.13459018832208
4023,2011,Belgium,63.68441740890352,159.10360444618226
4036,2011,Bulgaria,40.44353561331831,627.1236446648122
4049,2011,Croatia,47.03026586536933,77.9984150642195
4062,2011,Cyprus,3.6154257516211334,395.0906175824746
4075,2011,Czech Republic,40.98387238418817,269.1364884415062
